SIT_MATRICULA,RENDA_FAMILIAR,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO,APROVADO
0,0,2012,0,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,17,1
1,4,2009,8,0,0,0,2,1,0,0,0,0,5.9,0,54,2012,20,0
1,4,2007,8,0,1,0,0,1,2,2,2,2,5.5,0,54,2012,23,0
1,4,2010,8,0,0,0,0,1,0,0,0,0,0.0,26,54,2012,19,0
1,4,2010,8,0,0,0,0,1,0,0,0,0,1.5,0,54,2012,19,0
1,4,2010,8,0,0,0,0,1,0,0,0,0,0.0,20,54,2012,19,0
1,4,2010,8,0,0,0,0,1,0,0,0,0,0.0,64,54,2012,19,0
1,0,2012,10,0,0,0,1,2,1,2,2,2,7.5,0,54,2012,17,1
0,0,2009,3,0,0,0,3,1,0,0,0,0,0.0,70,54,2016,25,0
1,4,2011,8,0,0,0,0,1,0,0,0,0,0.0,0,54,2014,23,0
0,3,2003,2,0,0,1,2,1,2,2,3,3,6.5,0,54,2012,27,1
0,0,2011,0,0,0,0,4,1,1,1,2,2,6.0,0,54,2012,18,1
0,4,2004,8,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,27,1
0,4,2007,8,0,1,0,0,1,0,0,0,0,7.5,0,54,2012,22,1
1,0,2011,10,0,0,0,0,1,3,3,2,3,10.0,0,54,2012,18,1
0,0,2011,10,0,0,0,0,1,0,0,0,0,6.9,0,54,2013,20,1
0,0,2011,0,0,0,0,1,1,0,0,0,0,6.6,0,54,2012,18,1
1,4,2004,8,0,0,1,1,1,1,1,1,2,7.8,0,54,2012,24,1
1,4,2004,8,0,0,1,1,2,1,1,1,2,7.8,0,54,2012,24,1
0,0,2013,10,0,0,1,0,1,2,2,1,2,7.2,0,54,2012,20,1
0,4,2001,8,0,0,0,1,1,0,0,0,0,0.0,66,54,2012,28,0
0,4,2001,8,0,0,0,1,1,0,0,0,0,6.3,0,54,2012,28,1
0,4,2004,8,0,0,0,0,1,2,2,2,2,6.0,0,54,2012,26,1
1,0,2009,10,0,0,0,0,2,1,1,1,1,7.5,0,54,2014,23,1
0,4,2010,8,0,0,0,0,1,0,0,0,0,6.9,0,54,2012,22,1
0,0,2011,0,0,0,0,0,1,3,3,3,3,7.0,0,54,2012,17,1
0,0,2012,10,0,0,1,0,2,1,1,1,1,6.7,0,54,2015,23,1
1,0,2011,10,0,0,0,0,1,0,0,0,0,0.0,22,54,2012,18,0
1,0,2011,10,0,0,0,0,1,0,0,0,0,0.0,6,54,2013,19,0
1,0,2013,10,0,1,0,1,1,0,0,0,0,5.0,0,54,2012,25,0
0,0,2009,10,0,0,0,0,1,3,3,3,3,7.5,0,54,2012,19,1
0,0,2011,10,0,0,1,1,1,0,0,0,0,6.3,0,54,2012,18,1
0,0,2011,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,19,1
0,3,2008,3,0,1,0,0,1,0,0,0,0,6.5,0,54,2012,21,1
0,0,2011,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,17,1
0,0,2005,10,0,0,0,0,1,0,0,0,0,6.5,0,54,2012,24,1
0,4,2010,0,0,0,0,3,2,1,1,1,1,6.7,0,54,2015,22,1
1,0,2010,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,20,1
1,0,2005,10,0,0,0,1,1,0,0,0,0,6.8,0,54,2012,24,1
0,2,2007,10,0,1,0,0,2,2,2,2,3,6.0,0,54,2012,22,1
1,0,2011,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,19,1
1,0,2011,10,0,0,0,3,1,0,0,0,0,6.0,0,54,2012,18,1
1,0,2005,10,0,0,1,1,1,0,0,0,0,5.9,0,54,2012,25,0
0,0,2011,0,0,1,0,0,1,0,0,0,0,6.7,0,54,2012,18,1
1,0,2011,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,19,1
0,0,2008,10,0,0,1,3,1,0,0,0,0,6.7,0,54,2012,20,1
0,0,2006,10,0,0,1,1,1,2,3,3,3,6.0,0,54,2012,22,1
0,0,2006,10,0,0,1,1,2,2,2,1,2,6.0,0,54,2012,22,1
0,0,2011,10,0,1,0,2,1,0,0,0,0,7.3,0,54,2012,18,1
1,0,2011,10,0,0,0,3,1,0,0,0,0,4.5,0,54,2012,18,0
0,0,2010,10,0,0,0,1,1,0,0,0,0,6.0,0,54,2012,21,1
0,0,2011,10,0,0,0,2,1,0,0,0,0,6.0,0,54,2012,18,1
1,3,2010,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,21,1
1,3,2003,8,1,0,1,1,1,0,0,0,0,6.0,0,54,2012,30,1
0,4,2013,8,0,0,0,0,1,0,0,0,0,6.4,0,54,2012,22,1
1,4,2012,5,1,0,1,0,1,1,2,1,2,0.0,0,54,2012,31,0
1,4,2012,5,1,0,1,0,1,1,2,1,2,0.0,70,54,2012,31,0
1,4,2013,5,1,0,1,0,1,1,2,1,2,0.0,56,54,2012,31,0
1,6,2012,8,0,0,1,0,1,2,2,2,2,0.0,22,54,2012,39,0
1,4,2009,8,0,0,0,0,1,1,1,1,2,0.0,0,54,2012,20,0
0,4,2008,8,0,0,0,0,2,1,1,2,2,7.4,0,54,2012,22,1
1,4,2001,8,0,0,0,0,1,0,0,0,0,6.7,0,54,2012,28,1
0,4,2005,8,0,0,1,1,1,1,1,1,2,9.6,0,54,2012,25,1
0,4,2009,8,0,0,1,0,1,0,0,0,0,6.2,0,54,2012,20,1
0,4,2010,8,0,1,0,0,2,2,3,2,3,7.0,0,54,2012,21,1
0,4,2010,8,0,1,0,0,1,1,2,1,3,7.0,0,54,2012,21,1
0,4,2013,8,0,0,0,3,1,0,0,0,0,0.0,70,54,2015,18,0
0,4,2011,8,0,0,0,0,1,0,0,0,0,6.6,0,54,2012,18,1
1,4,2000,8,0,0,0,0,1,0,0,0,0,6.0,0,54,2012,30,1
1,4,2011,0,0,1,1,1,1,0,0,0,0,1.5,0,54,2012,18,0
1,4,2011,0,0,1,1,1,1,0,0,0,0,6.0,0,54,2012,18,1
1,3,2011,0,0,0,1,2,1,2,2,2,2,6.0,0,54,2012,18,1
1,3,2011,0,0,0,1,2,2,1,1,1,1,6.0,0,54,2012,18,1
1,4,2011,8,0,0,0,0,1,1,1,1,1,6.0,0,54,2012,19,1
0,4,2011,8,0,0,0,0,1,0,0,0,0,7.2,0,54,2013,19,1
0,0,2015,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2016,19,0
0,0,2015,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2016,19,0
0,0,2010,10,0,0,0,0,1,2,2,2,2,7.4,0,54,2013,20,1
0,0,2010,10,0,0,0,2,1,0,0,0,0,10.0,0,54,2014,22,1
0,0,2009,0,0,0,0,0,1,0,0,0,0,6.0,0,54,2011,19,1
0,0,2009,0,0,0,0,0,1,0,0,0,0,0.0,0,54,2011,19,0
1,0,2010,10,0,1,0,3,1,0,0,0,0,0.0,0,54,2011,18,0
1,0,2005,0,0,0,0,0,1,2,2,2,2,6.8,0,54,2011,23,1
0,4,2009,8,0,0,0,0,1,3,3,3,3,7.6,0,54,2011,19,1
0,4,2009,8,0,0,0,3,1,2,2,2,2,6.0,0,54,2011,19,1
0,5,2008,5,0,0,1,0,1,0,0,0,0,9.4,0,54,2011,20,1
0,4,2009,8,0,0,0,0,1,1,2,2,1,7.8,0,54,2011,21,1
0,4,2009,8,0,0,0,0,2,2,3,2,2,7.8,0,54,2011,21,1
0,4,2008,8,0,1,0,3,1,0,0,0,0,6.2,0,54,2011,21,1
1,4,2009,8,0,0,0,3,1,0,0,0,0,5.9,0,54,2011,19,0
1,4,2007,8,0,0,1,3,1,3,3,3,3,6.3,0,54,2011,23,1
1,4,2007,8,0,0,1,3,2,2,2,2,2,6.3,0,54,2011,23,1
1,0,2009,10,0,0,0,0,1,0,0,0,0,7.7,0,54,2011,19,1
0,0,2006,10,0,0,0,0,1,2,2,2,3,7.7,0,54,2011,20,1
1,0,2010,10,0,0,0,0,1,3,2,2,3,7.7,0,54,2011,18,1
1,0,2010,10,0,1,0,0,1,0,0,0,0,6.3,0,54,2011,18,1
1,0,2006,10,0,0,0,1,1,0,0,0,0,0.0,0,54,2011,23,0
1,0,2006,10,0,0,0,1,1,0,0,0,0,0.0,46,54,2011,23,0
1,0,2006,10,0,0,0,1,1,0,0,0,0,0.0,70,54,2015,27,0
0,0,2010,10,0,1,0,0,2,2,2,2,2,6.0,0,54,2011,17,1
0,0,2010,10,0,1,0,0,1,1,2,1,2,6.0,0,54,2011,17,1
0,0,2010,10,0,1,0,0,3,3,3,3,3,6.0,0,54,2011,17,1
1,5,2010,10,0,0,0,0,1,3,3,2,3,6.6,0,54,2011,19,1
0,0,2010,0,0,0,0,0,1,0,0,0,0,6.5,0,54,2011,18,1
0,4,2008,10,0,0,0,1,1,0,0,0,0,6.0,0,54,2013,22,1
0,0,2008,10,0,0,0,2,1,0,0,0,0,8.9,4,54,2014,24,1
0,0,2008,10,0,0,0,2,1,0,0,0,0,0.0,0,54,2014,24,0
1,4,2010,8,1,0,1,3,1,1,1,1,1,7.7,0,54,2011,19,1
1,4,2010,8,1,0,1,3,2,1,1,1,1,7.7,0,54,2011,19,1
1,4,2009,8,0,0,0,3,1,0,0,0,0,0.0,74,54,2011,19,0
0,0,2010,10,0,0,0,0,2,2,2,1,3,6.0,0,54,2012,19,1
0,0,2010,10,0,0,0,0,1,1,2,1,2,6.0,0,54,2012,19,1
1,0,2009,3,0,0,0,0,1,1,1,1,1,6.0,0,54,2011,19,1
0,4,2010,10,0,0,0,3,1,1,1,1,1,6.3,0,54,2014,21,1
